Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-100010,2021-10-12,2021-10-15,First Class,CUST-7871,Customer 955,Corporate,United States,Chicago,New York,31243,East,PROD-2988,Furniture,Furnishings,Product 163,341.28,2,0.1,-8.12
ORD-100011,2021-05-06,2021-05-11,Standard Class,CUST-4145,Customer 278,Home Office,United States,New York City,Texas,80164,South,PROD-9229,Office Supplies,Storage,Product 372,347.87,10,0.1,11.54
ORD-100012,2023-03-22,2023-03-29,Same Day,CUST-3687,Customer 619,Home Office,United States,Miami,Florida,63799,South,PROD-3248,Office Supplies,Binders,Product 261,112.21,5,0.2,-5.66
ORD-100013,2022-01-31,2022-02-05,Second Class,CUST-4757,Customer 473,Consumer,United States,New York City,California,41019,East,PROD-2075,Furniture,Bookcases,Product 53,740.76,5,0.05,35.68
ORD-100014,2024-11-16,2024-11-18,Same Day,CUST-9606,Customer 424,Home Office,United States,Houston,Texas,93677,West,PROD-1052,Office Supplies,Storage,Product 358,937.61,4,0.05,21.16
ORD-100015,2024-07-04,2024-07-10,Second Class,CUST-1169,Customer 662,Home Office,United States,Los Angeles,Texas,80115,West,PROD-4791,Furniture,Chairs,Product 459,471.81,2,0.2,-69.74
ORD-100016,2023-05-12,2023-05-18,First Class,CUST-7811,Customer 147,Corporate,United States,Los Angeles,Illinois,99736,South,PROD-3269,Office Supplies,Binders,Product 177,227.85,10,0.05,7.13
ORD-100017,2021-04-19,2021-04-20,First Class,CUST-5748,Customer 665,Corporate,United States,Miami,New York,89579,South,PROD-5599,Technology,Copiers,Product 457,303.82,4,0.1,11.16
ORD-100018,2023-04-13,2023-04-16,Same Day,CUST-7015,Customer 962,Home Office,United States,Miami,Illinois,63576,East,PROD-6179,Technology,Copiers,Product 334,274.18,3,0.1,34.25
ORD-100019,2021-09-17,2021-09-22,Same Day,CUST-5622,Customer 214,Consumer,United States,Miami,Texas,69441,West,PROD-6030,Technology,Machines,Product 440,358.06,10,0.05,32.12
ORD-100020,2022-04-06,2022-04-09,Second Class,CUST-5257,Customer 449,Home Office,United States,Miami,New York,39593,East,PROD-4789,Technology,Copiers,Product 179,450.62,7,0.0,46.79
ORD-100021,2024-12-08,2024-12-09,First Class,CUST-4712,Customer 861,Home Office,United States,New York City,California,29501,East,PROD-6655,Technology,Copiers,Product 23,635.65,5,0.2,40.98
ORD-100022,2023-04-29,2023-05-05,Standard Class,CUST-9746,Customer 21,Corporate,United States,Miami,California,57162,Central,PROD-2781,Furniture,Chairs,Product 72,702.64,4,0.2,-75.3
ORD-100023,2024-12-17,2024-12-24,Standard Class,CUST-7538,Customer 168,Consumer,United States,Los Angeles,Florida,86209,West,PROD-3651,Office Supplies,Paper,Product 134,752.91,9,0.2,46.44
ORD-100024,2021-03-24,2021-03-28,Same Day,CUST-1488,Customer 189,Corporate,United States,Miami,New York,83022,West,PROD-3650,Office Supplies,Accessories,Product 286,674.1,8,0.1,72.55
ORD-100025,2022-11-22,2022-11-26,Standard Class,CUST-9950,Customer 631,Consumer,United States,Los Angeles,Florida,34155,West,PROD-9525,Office Supplies,Accessories,Product 8,713.07,2,0.1,39.62
ORD-100026,2021-10-14,2021-10-20,Standard Class,CUST-2249,Customer 425,Home Office,United States,Chicago,Illinois,93271,Central,PROD-7357,Technology,Copiers,Product 35,849.09,4,0.05,100.04
ORD-100027,2021-09-17,2021-09-21,Same Day,CUST-2669,Customer 27,Consumer,United States,Miami,Florida,87285,Central,PROD-2104,Office Supplies,Paper,Product 154,614.63,10,0.1,-15.59
ORD-100028,2023-06-26,2023-06-27,First Class,CUST-9665,Customer 273,Corporate,United States,Los Angeles,Texas,13631,East,PROD-8147,Technology,Phones,Product 362,635.55,3,0.2,16.07
ORD-100029,2022-01-20,2022-01-22,Standard Class,CUST-9107,Customer 652,Home Office,United States,Houston,Florida,66486,Central,PROD-3001,Office Supplies,Paper,Product 459,289.26,9,0.2,-2.68
ORD-100030,2023-10-06,2023-10-10,First Class,CUST-6421,Customer 813,Consumer,United States,Miami,New York,96813,South,PROD-1022,Furniture,Bookcases,Product 26,937.78,3,0.05,52.84
ORD-100031,2022-09-16,2022-09-20,Second Class,CUST-9733,Customer 850,Home Office,United States,Los Angeles,Florida,55063,Central,PROD-5729,Technology,Accessories,Product 149,377.47,2,0.0,109.31
ORD-100032,2024-02-15,2024-02-19,Second Class,CUST-1516,Customer 615,Consumer,United States,New York City,Florida,39453,West,PROD-8758,Furniture,Bookcases,Product 13,535.79,10,0.2,-40.21
ORD-100033,2023-07-01,2023-07-05,Same Day,CUST-5495,Customer 990,Home Office,United States,Chicago,Florida,55882,Central,PROD-8935,Technology,Copiers,Product 284,524.9,5,0.05,85.6
ORD-100034,2022-01-23,2022-01-30,Same Day,CUST-5264,Customer 237,Corporate,United States,Houston,Illinois,84770,East,PROD-1254,Office Supplies,Storage,Product 138,846.07,8,0.2,-13.76
ORD-100035,2024-10-09,2024-10-12,Second Class,CUST-5609,Customer 125,Home Office,United States,Miami,California,87851,South,PROD-5420,Technology,Machines,Product 197,408.11,1,0.0,63.19
ORD-100036,2021-09-20,2021-09-24,First Class,CUST-8098,Customer 173,Corporate,United States,Houston,Illinois,11492,South,PROD-7611,Office Supplies,Paper,Product 73,237.27,6,0.0,39.16
ORD-100037,2023-06-24,2023-06-27,First Class,CUST-6291,Customer 238,Consumer,United States,Los Angeles,New York,13012,Central,PROD-8374,Technology,Machines,Product 2,238.1,2,0.0,14.68
ORD-100038,2021-08-17,2021-08-23,Standard Class,CUST-8374,Customer 183,Corporate,United States,Los Angeles,Florida,81456,East,PROD-8381,Furniture,Tables,Product 93,462.06,6,0.05,42.41
ORD-100039,2023-12-03,2023-12-10,First Class,CUST-5762,Customer 758,Corporate,United States,Chicago,California,44763,Central,PROD-7078,Technology,Phones,Product 450,392.63,5,0.0,62.29
ORD-100040,2022-12-29,2023-01-05,Second Class,CUST-7342,Customer 875,Home Office,United States,Chicago,California,37178,Central,PROD-8573,Office Supplies,Paper,Product 6,774.05,6,0.0,73.84
ORD-100041,2024-08-22,2024-08-26,First Class,CUST-6438,Customer 850,Home Office,United States,Houston,New York,25398,Central,PROD-9537,Office Supplies,Storage,Product 322,190.28,9,0.2,-22.27
ORD-100042,2024-04-13,2024-04-19,Second Class,CUST-5817,Customer 827,Consumer,United States,Houston,California,41418,East,PROD-1552,Furniture,Furnishings,Product 381,450.7,7,0.0,51.56
ORD-100043,2022-07-30,2022-08-04,Second Class,CUST-8938,Customer 888,Consumer,United States,New York City,Florida,94716,South,PROD-7868,Office Supplies,Accessories,Product 102,255.66,7,0.2,-18.41
ORD-100044,2021-07-27,2021-07-28,Same Day,CUST-1817,Customer 759,Consumer,United States,Chicago,New York,29427,Central,PROD-7035,Office Supplies,Binders,Product 357,528.41,2,0.1,46.65
ORD-100045,2023-01-31,2023-02-03,Standard Class,CUST-2225,Customer 484,Home Office,United States,Los Angeles,New York,47074,South,PROD-7040,Technology,Accessories,Product 53,708.57,7,0.05,137.27
ORD-100046,2022-01-20,2022-01-26,First Class,CUST-3132,Customer 707,Corporate,United States,Chicago,New York,38592,South,PROD-1587,Technology,Copiers,Product 267,270.29,9,0.05,22.78
ORD-100047,2023-11-04,2023-11-09,Standard Class,CUST-1070,Customer 507,Corporate,United States,Los Angeles,California,38308,West,PROD-1243,Technology,Copiers,Product 409,442.81,5,0.05,40.54
ORD-100048,2021-08-24,2021-08-29,Second Class,CUST-8944,Customer 622,Home Office,United States,Chicago,California,11601,West,PROD-9791,Technology,Phones,Product 33,834.2,1,0.05,61.33
ORD-100049,2021-04-12,2021-04-14,First Class,CUST-1665,Customer 577,Corporate,United States,New York City,Texas,90019,East,PROD-7005,Technology,Accessories,Product 341,73.09,6,0.2,1.49
ORD-100050,2021-12-10,2021-12-16,Standard Class,CUST-2756,Customer 739,Home Office,United States,Chicago,Florida,63025,Central,PROD-1360,Office Supplies,Binders,Product 140,478.4,9,0.1,33.71
ORD-100051,2024-03-15,2024-03-17,Standard Class,CUST-1116,Customer 593,Corporate,United States,Houston,New York,11057,East,PROD-5219,Technology,Accessories,Product 491,61.1,6,0.2,-1.06
ORD-100052,2024-07-26,2024-08-02,Standard Class,CUST-7741,Customer 1,Home Office,United States,Los Angeles,Florida,78253,West,PROD-2402,Office Supplies,Accessories,Product 185,108.53,3,0.2,7.61
ORD-100053,2024-09-03,2024-09-06,Same Day,CUST-1518,Customer 249,Corporate,United States,Houston,Illinois,20020,South,PROD-3715,Technology,Copiers,Product 486,359.87,8,0.0,58.5
ORD-100054,2022-01-03,2022-01-08,Same Day,CUST-6731,Customer 319,Consumer,United States,Miami,New York,14791,Central,PROD-8991,Furniture,Bookcases,Product 195,159.93,2,0.05,13.96
ORD-100055,2021-11-09,2021-11-15,First Class,CUST-6450,Customer 609,Home Office,United States,Miami,New York,97470,South,PROD-3503,Furniture,Furnishings,Product 196,669.73,4,0.2,2.47
ORD-100056,2023-10-27,2023-10-29,First Class,CUST-2783,Customer 997,Consumer,United States,Houston,Illinois,70425,East,PROD-5199,Office Supplies,Storage,Product 94,309.63,7,0.2,29.58
ORD-100057,2024-01-22,2024-01-27,Standard Class,CUST-8830,Customer 272,Consumer,United States,Los Angeles,California,40075,East,PROD-9221,Technology,Accessories,Product 310,950.1,7,0.1,61.16
ORD-100058,2021-03-11,2021-03-18,Standard Class,CUST-2707,Customer 218,Home Office,United States,Los Angeles,Florida,16678,West,PROD-4298,Office Supplies,Accessories,Product 99,306.11,9,0.05,49.67
ORD-100059,2023-01-07,2023-01-11,First Class,CUST-6787,Customer 727,Home Office,United States,Los Angeles,Texas,51437,South,PROD-7873,Furniture,Bookcases,Product 134,454.45,7,0.1,10.05
ORD-100060,2024-07-17,2024-07-21,First Class,CUST-6928,Customer 473,Consumer,United States,Miami,Texas,87332,West,PROD-5354,Furniture,Bookcases,Product 490,224.32,5,0.0,25.25
ORD-100061,2021-01-10,2021-01-15,First Class,CUST-1511,Customer 350,Corporate,United States,Houston,Illinois,99470,West,PROD-6710,Furniture,Furnishings,Product 346,51.5,5,0.0,12.16
ORD-100062,2023-03-11,2023-03-18,Standard Class,CUST-8524,Customer 842,Consumer,United States,Chicago,New York,32969,South,PROD-5961,Technology,Copiers,Product 297,336.06,6,0.05,74.45
ORD-100063,2022-12-03,2022-12-06,First Class,CUST-3609,Customer 233,Consumer,United States,Chicago,New York,15915,West,PROD-4498,Office Supplies,Accessories,Product 352,798.22,1,0.2,-45.12
ORD-100064,2021-06-15,2021-06-20,Second Class,CUST-6595,Customer 196,Home Office,United States,Chicago,Florida,57403,East,PROD-8870,Furniture,Tables,Product 144,389.79,5,0.0,31.7
ORD-100065,2023-12-10,2023-12-13,Second Class,CUST-5582,Customer 758,Corporate,United States,New York City,New York,19992,West,PROD-9959,Technology,Machines,Product 67,173.94,4,0.1,11.23
ORD-100066,2023-09-06,2023-09-11,Standard Class,CUST-5033,Customer 247,Consumer,United States,Houston,Illinois,70363,Central,PROD-6840,Furniture,Tables,Product 260,459.95,6,0.2,-20.7
ORD-100067,2022-08-10,2022-08-13,Second Class,CUST-3756,Customer 451,Consumer,United States,Houston,California,66013,Central,PROD-5539,Furniture,Chairs,Product 291,949.52,3,0.0,203.27
ORD-100068,2022-03-06,2022-03-10,Standard Class,CUST-3132,Customer 917,Home Office,United States,Chicago,Illinois,78244,East,PROD-1926,Furniture,Bookcases,Product 202,794.33,8,0.1,-13.98
ORD-100069,2022-10-26,2022-11-02,First Class,CUST-6624,Customer 952,Corporate,United States,Houston,New York,15475,South,PROD-4260,Furniture,Bookcases,Product 345,707.85,2,0.0,53.5
ORD-100070,2021-07-22,2021-07-27,Second Class,CUST-3366,Customer 236,Consumer,United States,Houston,New York,12380,West,PROD-7504,Technology,Phones,Product 32,165.12,6,0.2,2.04
ORD-100071,2022-10-31,2022-11-05,Standard Class,CUST-3312,Customer 144,Home Office,United States,Miami,California,73061,West,PROD-6460,Office Supplies,Storage,Product 72,290.7,1,0.1,-3.78
ORD-100072,2021-09-22,2021-09-27,Standard Class,CUST-8705,Customer 439,Corporate,United States,Miami,New York,37043,Central,PROD-2770,Furniture,Tables,Product 436,762.9,5,0.1,82.17
ORD-100073,2024-03-06,2024-03-10,Same Day,CUST-7855,Customer 688,Corporate,United States,Houston,Florida,86789,Central,PROD-4339,Office Supplies,Accessories,Product 95,657.98,10,0.05,127.17
ORD-100074,2021-07-12,2021-07-13,First Class,CUST-5911,Customer 141,Corporate,United States,Los Angeles,California,61477,West,PROD-5103,Technology,Copiers,Product 412,178.59,8,0.1,13.43
ORD-100075,2021-03-04,2021-03-08,Standard Class,CUST-1899,Customer 820,Corporate,United States,Houston,New York,74444,East,PROD-6505,Furniture,Chairs,Product 42,327.27,9,0.1,62.9
ORD-100076,2024-01-22,2024-01-24,Same Day,CUST-9332,Customer 650,Corporate,United States,Chicago,Texas,10985,East,PROD-9729,Technology,Phones,Product 363,372.36,1,0.05,58.64
ORD-100077,2022-09-03,2022-09-05,First Class,CUST-9547,Customer 197,Corporate,United States,Chicago,New York,97583,West,PROD-9456,Technology,Phones,Product 162,77.77,6,0.05,0.25
ORD-100078,2023-02-28,2023-03-04,First Class,CUST-8961,Customer 318,Home Office,United States,Houston,Illinois,62468,East,PROD-7989,Furniture,Bookcases,Product 281,391.29,10,0.05,35.08
ORD-100079,2021-12-21,2021-12-23,Standard Class,CUST-3051,Customer 194,Corporate,United States,Los Angeles,Florida,67173,East,PROD-8650,Office Supplies,Paper,Product 476,448.06,3,0.05,104.32
ORD-100080,2023-12-04,2023-12-05,First Class,CUST-2584,Customer 737,Consumer,United States,Chicago,Texas,46467,South,PROD-1273,Technology,Phones,Product 257,674.48,4,0.05,140.14
ORD-100081,2023-03-19,2023-03-21,Standard Class,CUST-7521,Customer 277,Consumer,United States,Los Angeles,Texas,74135,Central,PROD-3835,Furniture,Tables,Product 407,471.58,5,0.2,13.31
ORD-100082,2021-08-26,2021-09-01,First Class,CUST-1223,Customer 51,Consumer,United States,Chicago,California,10002,West,PROD-7322,Office Supplies,Binders,Product 368,139.68,1,0.05,29.85
ORD-100083,2021-05-03,2021-05-08,Standard Class,CUST-9215,Customer 751,Home Office,United States,Miami,Illinois,21284,West,PROD-9001,Furniture,Chairs,Product 287,778.54,10,0.05,124.56
ORD-100084,2021-12-24,2021-12-29,Standard Class,CUST-6859,Customer 236,Corporate,United States,Miami,New York,88679,East,PROD-1247,Office Supplies,Accessories,Product 138,363.97,8,0.2,13.76
ORD-100085,2024-07-23,2024-07-26,Standard Class,CUST-5969,Customer 683,Corporate,United States,New York City,New York,35130,South,PROD-5741,Technology,Machines,Product 463,878.13,3,0.2,-70.87
ORD-100086,2022-05-03,2022-05-07,Second Class,CUST-3733,Customer 508,Consumer,United States,Los Angeles,New York,70438,East,PROD-2289,Furniture,Tables,Product 447,783.34,10,0.0,150.2
ORD-100087,2021-11-01,2021-11-05,First Class,CUST-6851,Customer 881,Corporate,United States,Los Angeles,New York,78313,South,PROD-8965,Technology,Copiers,Product 190,900.53,9,0.0,149.85
ORD-100088,2021-02-07,2021-02-14,Standard Class,CUST-2579,Customer 653,Home Office,United States,New York City,New York,11474,Central,PROD-6163,Technology,Phones,Product 291,752.23,2,0.2,-40.65
ORD-100089,2024-04-02,2024-04-09,Same Day,CUST-3020,Customer 525,Corporate,United States,Miami,New York,73687,Central,PROD-5994,Office Supplies,Storage,Product 73,233.74,5,0.2,5.45
ORD-100090,2024-09-12,2024-09-19,First Class,CUST-9961,Customer 931,Consumer,United States,Chicago,Florida,49465,South,PROD-4189,Technology,Phones,Product 222,340.72,7,0.1,63.2
ORD-100091,2024-09-06,2024-09-07,Second Class,CUST-2449,Customer 499,Corporate,United States,Houston,Texas,70109,East,PROD-5504,Technology,Accessories,Product 78,828.27,1,0.0,93.35
ORD-100092,2024-11-30,2024-12-07,Second Class,CUST-6830,Customer 864,Corporate,United States,Houston,Texas,11580,Central,PROD-1099,Technology,Phones,Product 233,726.44,3,0.05,92.87
ORD-100093,2022-07-09,2022-07-15,Same Day,CUST-9440,Customer 475,Corporate,United States,Miami,Illinois,54733,East,PROD-9187,Technology,Copiers,Product 498,955.63,7,0.0,75.57
ORD-100094,2022-09-23,2022-09-25,Standard Class,CUST-8092,Customer 600,Home Office,United States,Los Angeles,New York,32257,South,PROD-4965,Furniture,Furnishings,Product 5,100.65,9,0.1,17.6
ORD-100095,2024-12-04,2024-12-09,First Class,CUST-8360,Customer 39,Corporate,United States,New York City,Illinois,99680,West,PROD-8711,Furniture,Bookcases,Product 184,376.69,9,0.05,37.53
ORD-100096,2024-04-24,2024-04-28,Second Class,CUST-4181,Customer 575,Corporate,United States,Miami,Illinois,12097,West,PROD-4120,Furniture,Tables,Product 413,773.13,6,0.2,20.32
ORD-100097,2022-02-05,2022-02-06,Second Class,CUST-4566,Customer 419,Corporate,United States,Miami,Texas,15029,Central,PROD-8378,Furniture,Chairs,Product 232,947.9,5,0.05,30.06
ORD-100098,2024-11-12,2024-11-18,Standard Class,CUST-4867,Customer 385,Home Office,United States,Houston,New York,79896,East,PROD-9555,Technology,Accessories,Product 198,505.69,2,0.0,111.81
ORD-100099,2024-03-25,2024-03-28,Second Class,CUST-9411,Customer 229,Home Office,United States,Chicago,California,99227,Central,PROD-9636,Technology,Copiers,Product 144,592.16,5,0.0,176.95
ORD-100100,2022-11-13,2022-11-18,Second Class,CUST-9253,Customer 482,Home Office,United States,New York City,Illinois,72730,West,PROD-6126,Office Supplies,Accessories,Product 400,635.9,10,0.2,-86.95
ORD-100101,2023-09-15,2023-09-22,Same Day,CUST-3060,Customer 304,Corporate,United States,Miami,Illinois,53174,South,PROD-9004,Furniture,Bookcases,Product 36,564.1,8,0.1,-1.47
ORD-100102,2023-03-15,2023-03-17,Second Class,CUST-4330,Customer 81,Consumer,United States,Miami,New York,92940,South,PROD-1004,Furniture,Furnishings,Product 284,574.31,10,0.2,-80.69
ORD-100103,2021-07-05,2021-07-08,Standard Class,CUST-2999,Customer 307,Home Office,United States,Miami,New York,44430,South,PROD-7677,Office Supplies,Accessories,Product 333,594.79,1,0.0,60.3
ORD-100104,2021-01-27,2021-02-03,Same Day,CUST-2310,Customer 140,Corporate,United States,New York City,California,65156,South,PROD-3592,Furniture,Furnishings,Product 202,177.43,1,0.05,5.05
ORD-100105,2023-05-15,2023-05-16,Same Day,CUST-7575,Customer 592,Home Office,United States,Los Angeles,California,24276,West,PROD-9057,Office Supplies,Binders,Product 375,994.66,5,0.2,-141.26
ORD-100106,2023-09-28,2023-10-05,Second Class,CUST-2303,Customer 429,Consumer,United States,New York City,New York,11918,West,PROD-4633,Office Supplies,Storage,Product 130,751.94,10,0.05,83.37
ORD-100107,2023-04-12,2023-04-13,Standard Class,CUST-5302,Customer 322,Consumer,United States,Chicago,California,60002,West,PROD-1046,Office Supplies,Accessories,Product 275,206.36,1,0.1,29.75
ORD-100108,2023-05-24,2023-05-26,Same Day,CUST-7080,Customer 336,Home Office,United States,Houston,Florida,46676,East,PROD-2294,Office Supplies,Binders,Product 405,206.29,2,0.2,10.14
ORD-100109,2023-10-01,2023-10-02,Same Day,CUST-5566,Customer 650,Consumer,United States,New York City,Illinois,83406,West,PROD-9707,Office Supplies,Accessories,Product 298,39.04,4,0.0,7.09
ORD-100110,2022-11-25,2022-11-28,Same Day,CUST-8735,Customer 553,Consumer,United States,Chicago,Texas,74980,Central,PROD-3577,Office Supplies,Storage,Product 213,921.74,3,0.2,-40.86
ORD-100111,2023-04-21,2023-04-27,Standard Class,CUST-4920,Customer 745,Home Office,United States,Chicago,Texas,71670,South,PROD-9757,Office Supplies,Storage,Product 54,614.21,4,0.0,141.89
ORD-100112,2021-08-26,2021-09-02,Second Class,CUST-6770,Customer 58,Home Office,United States,Houston,Illinois,70286,West,PROD-3596,Furniture,Bookcases,Product 265,181.98,1,0.0,17.33
ORD-100113,2021-09-05,2021-09-09,Second Class,CUST-3636,Customer 25,Corporate,United States,Los Angeles,Texas,74298,Central,PROD-5067,Furniture,Furnishings,Product 232,719.41,10,0.1,136.56
ORD-100114,2021-02-26,2021-03-05,Standard Class,CUST-4095,Customer 167,Home Office,United States,Los Angeles,California,58066,Central,PROD-8957,Technology,Machines,Product 406,212.12,7,0.1,37.86
ORD-100115,2021-02-05,2021-02-10,First Class,CUST-2948,Customer 214,Corporate,United States,Los Angeles,New York,78466,East,PROD-4809,Furniture,Bookcases,Product 386,733.31,3,0.0,68.22
ORD-100116,2021-01-21,2021-01-27,First Class,CUST-1708,Customer 401,Consumer,United States,Miami,California,13950,West,PROD-9714,Office Supplies,Paper,Product 44,872.72,2,0.1,140.89
ORD-100117,2022-02-18,2022-02-23,Second Class,CUST-2898,Customer 398,Consumer,United States,New York City,California,40417,West,PROD-3776,Technology,Accessories,Product 376,681.08,2,0.05,5.31
ORD-100118,2022-02-15,2022-02-21,Second Class,CUST-2944,Customer 372,Corporate,United States,Miami,Florida,54341,East,PROD-7871,Office Supplies,Binders,Product 372,294.4,10,0.05,27.06
ORD-100119,2022-11-13,2022-11-18,Same Day,CUST-8049,Customer 122,Consumer,United States,Los Angeles,New York,45672,East,PROD-7949,Technology,Accessories,Product 320,461.02,7,0.1,47.19
ORD-100120,2021-01-21,2021-01-24,Standard Class,CUST-2071,Customer 818,Home Office,United States,Miami,Texas,10391,East,PROD-6232,Furniture,Tables,Product 244,358.07,6,0.05,46.3
ORD-100121,2023-03-13,2023-03-19,First Class,CUST-1832,Customer 781,Corporate,United States,Miami,Florida,69783,East,PROD-5242,Furniture,Chairs,Product 129,103.6,9,0.0,13.34
ORD-100122,2023-03-25,2023-03-31,First Class,CUST-4384,Customer 408,Home Office,United States,Los Angeles,Illinois,62144,Central,PROD-2908,Furniture,Furnishings,Product 167,780.9,7,0.1,25.95
ORD-100123,2023-04-20,2023-04-22,First Class,CUST-6545,Customer 258,Home Office,United States,Miami,Illinois,82569,Central,PROD-2927,Office Supplies,Binders,Product 337,560.02,4,0.05,1.07
ORD-100124,2024-05-25,2024-05-29,Second Class,CUST-1385,Customer 773,Home Office,United States,New York City,Texas,49506,West,PROD-9521,Furniture,Bookcases,Product 389,728.37,10,0.1,18.38
ORD-100125,2021-12-05,2021-12-12,Second Class,CUST-3081,Customer 446,Corporate,United States,New York City,New York,49063,East,PROD-1752,Office Supplies,Storage,Product 243,907.22,4,0.1,74.81
ORD-100126,2022-06-18,2022-06-22,First Class,CUST-1580,Customer 610,Corporate,United States,New York City,California,23606,East,PROD-1206,Office Supplies,Paper,Product 101,694.8,4,0.0,40.21
ORD-100127,2022-05-30,2022-06-02,Standard Class,CUST-7671,Customer 270,Consumer,United States,Miami,Texas,24598,West,PROD-3971,Technology,Machines,Product 272,145.24,5,0.1,20.08
ORD-100128,2023-09-03,2023-09-10,First Class,CUST-8755,Customer 697,Consumer,United States,New York City,Texas,35209,South,PROD-7640,Technology,Copiers,Product 304,296.49,5,0.0,20.01
ORD-100129,2022-07-01,2022-07-03,Second Class,CUST-9507,Customer 212,Home Office,United States,New York City,New York,78669,South,PROD-1683,Furniture,Tables,Product 272,352.21,9,0.1,43.62
ORD-100130,2021-01-22,2021-01-24,Same Day,CUST-1197,Customer 706,Corporate,United States,Miami,Florida,96632,Central,PROD-3530,Technology,Phones,Product 110,154.2,2,0.0,22.72
ORD-100131,2023-05-14,2023-05-19,Second Class,CUST-2147,Customer 979,Consumer,United States,Chicago,Florida,45692,Central,PROD-6934,Office Supplies,Binders,Product 476,982.89,2,0.2,52.4
ORD-100132,2022-10-06,2022-10-07,Standard Class,CUST-3323,Customer 131,Home Office,United States,Chicago,Illinois,13278,West,PROD-5723,Office Supplies,Binders,Product 188,389.73,9,0.1,-6.13
ORD-100133,2021-09-08,2021-09-10,Second Class,CUST-3556,Customer 20,Home Office,United States,Los Angeles,Texas,57102,West,PROD-7038,Furniture,Tables,Product 158,821.42,3,0.1,121.73
ORD-100134,2022-05-10,2022-05-12,First Class,CUST-5979,Customer 296,Home Office,United States,Miami,New York,42536,East,PROD-5698,Office Supplies,Accessories,Product 214,163.45,10,0.1,25.62
ORD-100135,2024-02-24,2024-02-26,Second Class,CUST-2909,Customer 472,Home Office,United States,Miami,Florida,45280,Central,PROD-8990,Technology,Accessories,Product 402,871.4,3,0.0,233.35
ORD-100136,2024-11-08,2024-11-11,Second Class,CUST-5606,Customer 869,Home Office,United States,New York City,New York,31289,Central,PROD-3689,Furniture,Tables,Product 12,185.28,10,0.2,0.39
ORD-100137,2024-01-23,2024-01-24,Standard Class,CUST-1037,Customer 172,Corporate,United States,Chicago,Texas,71797,South,PROD-8424,Office Supplies,Storage,Product 355,730.83,1,0.05,109.01
ORD-100138,2021-12-18,2021-12-21,Standard Class,CUST-6137,Customer 970,Corporate,United States,New York City,California,89369,West,PROD-9736,Office Supplies,Binders,Product 367,237.46,5,0.0,68.24
ORD-100139,2024-11-13,2024-11-17,Same Day,CUST-4022,Customer 494,Home Office,United States,Miami,New York,67735,Central,PROD-7563,Furniture,Furnishings,Product 455,792.02,2,0.1,-11.23
ORD-100140,2022-06-12,2022-06-16,Same Day,CUST-1201,Customer 703,Corporate,United States,New York City,Florida,46887,East,PROD-6081,Furniture,Chairs,Product 295,835.56,10,0.0,226.68
ORD-100141,2023-11-16,2023-11-22,Standard Class,CUST-6929,Customer 774,Corporate,United States,Houston,California,33223,East,PROD-7798,Technology,Phones,Product 335,505.03,9,0.1,74.43
